id,description,name,path,path_with_namespace,created_at,default_branch,tag_list,topics,ssh_url_to_repo,http_url_to_repo,web_url,readme_url,forks_count,star_count,empty_repo,archived,visibility,creator_id,open_issues_count,namespace.id,namespace.name,namespace.path,namespace.kind,namespace.full_path,namespace.parent_id,namespace.web_url
68878307,"Tool for generating multi-purpose makefiles for FPGA projects.

Main features:

  - makefile generation for:
      - fetching modules from repositories
      - simulating HDL projects
      - synthesizing HDL projects
      - synthesizing projects remotely (keeping your local resources
        free)
  - generating multi-vendor project files (no clicking in the IDE\!)
  - many other things without involving make and makefiles

Hdlmake supports **modularity**, **scalability**, **revision control
systems**. Hdlmake can be run on any Linux or Windows machine with any
HDL  
[More info at the Wiki page](https://gitlab.com/ohwr/project/hdl-make/-/wikis)

",Hdlmake,hdl-make,ohwr/Lacsapix/hdl-make,2025-04-11T00:42:39.080Z,master,[],[],git@gitlab.com:ohwr/Lacsapix/hdl-make.git,https://gitlab.com/ohwr/Lacsapix/hdl-make.git,https://gitlab.com/ohwr/Lacsapix/hdl-make,,0,0,FALSE,FALSE,public,2091140,0,105505972,Lacsapix,Lacsapix,group,ohwr/Lacsapix,105419409,https://gitlab.com/groups/ohwr/Lacsapix
68878085,"The uRV (Micro RISC-V) core is a small-sized implementation of a 32-bit
RISC-V core, targeted specifically at FPGAs.  
[More info at the Wiki page](https://gitlab.com/ohwr/project/urv-core/-/wikis)

",urv-core,urv-core,ohwr/cgentsos/urv-core,2025-04-11T00:32:18.945Z,master,[],[],git@gitlab.com:ohwr/cgentsos/urv-core.git,https://gitlab.com/ohwr/cgentsos/urv-core.git,https://gitlab.com/ohwr/cgentsos/urv-core,,0,0,FALSE,FALSE,public,2091140,0,105506297,cgentsos,cgentsos,group,ohwr/cgentsos,105419409,https://gitlab.com/groups/ohwr/cgentsos
68877906,"A VHDL core for a VME64x slave. The other side behaves like a Wishbone
master.

  - [More info at the Wiki
    page](https://gitlab.com/ohwr/project/vme64x-core/-/wikis)

",VME64x core - msaccani,vme64x-core-msaccani,ohwr/msaccani/vme64x-core-msaccani,2025-04-11T00:25:45.832Z,master,[],[],git@gitlab.com:ohwr/msaccani/vme64x-core-msaccani.git,https://gitlab.com/ohwr/msaccani/vme64x-core-msaccani.git,https://gitlab.com/ohwr/msaccani/vme64x-core-msaccani,https://gitlab.com/ohwr/msaccani/vme64x-core-msaccani/-/blob/master/README,0,0,FALSE,FALSE,public,2091140,0,105505996,msaccani,msaccani,group,ohwr/msaccani,105419409,https://gitlab.com/groups/ohwr/msaccani
68877878,"A collection of cores needed in the White Rabbit node and switch.
Includes White Rabbit PTP Core (WRPC).

",White Rabbit core collection,wr-cores,ohwr/kblantos/wr-cores,2025-04-11T00:23:30.358Z,proposed_master,[],[],git@gitlab.com:ohwr/kblantos/wr-cores.git,https://gitlab.com/ohwr/kblantos/wr-cores.git,https://gitlab.com/ohwr/kblantos/wr-cores,,0,0,FALSE,FALSE,public,2091140,0,105505850,kblantos,kblantos,group,ohwr/kblantos,105419409,https://gitlab.com/groups/ohwr/kblantos
68877838,"Tool for generating multi-purpose makefiles for FPGA projects.

Main features:

  - makefile generation for:
      - fetching modules from repositories
      - simulating HDL projects
      - synthesizing HDL projects
      - synthesizing projects remotely (keeping your local resources
        free)
  - generating multi-vendor project files (no clicking in the IDE\!)
  - many other things without involving make and makefiles

Hdlmake supports **modularity**, **scalability**, **revision control
systems**. Hdlmake can be run on any Linux or Windows machine with any
HDL  
[More info at the Wiki page](https://gitlab.com/ohwr/project/hdl-make/-/wikis)

",Hdlmake,hdl-make,ohwr/bkoropoff/hdl-make,2025-04-11T00:18:45.238Z,master,[],[],git@gitlab.com:ohwr/bkoropoff/hdl-make.git,https://gitlab.com/ohwr/bkoropoff/hdl-make.git,https://gitlab.com/ohwr/bkoropoff/hdl-make,,0,0,FALSE,FALSE,public,2091140,0,105505837,bkoropoff,bkoropoff,group,ohwr/bkoropoff,105419409,https://gitlab.com/groups/ohwr/bkoropoff
68877603,"DI/OT Igloo2-based System Board for radiation-exposed DI/OT applications. [More info at the Wiki
page](https://gitlab.com/ohwr/project/diot-sb-igl/-/wikis)",DIOT Igloo2-based radiation-tolerant System Board,diot-sb-igl,ohwr/Qbort/diot-sb-igl,2025-04-10T23:56:20.529Z,master,[],[],git@gitlab.com:ohwr/Qbort/diot-sb-igl.git,https://gitlab.com/ohwr/Qbort/diot-sb-igl.git,https://gitlab.com/ohwr/Qbort/diot-sb-igl,https://gitlab.com/ohwr/Qbort/diot-sb-igl/-/blob/master/README.md,0,0,FALSE,FALSE,public,2091140,0,105505398,Qbort,Qbort,group,ohwr/Qbort,105419409,https://gitlab.com/groups/ohwr/Qbort
68877451,"A trigger/timing logic unit (TLU) designed for AIDAinnova project.
Successor to AIDA/AIDA-2020 TLU.
Timing precision improved from O(1ns) in AIDA TLU to O(100ps)",AIDAInnova_TLU-hw,aidainnova_tlu-hw,ohwr/cussans/aidainnova_tlu-hw,2025-04-10T23:41:26.407Z,main,[],[],git@gitlab.com:ohwr/cussans/aidainnova_tlu-hw.git,https://gitlab.com/ohwr/cussans/aidainnova_tlu-hw.git,https://gitlab.com/ohwr/cussans/aidainnova_tlu-hw,https://gitlab.com/ohwr/cussans/aidainnova_tlu-hw/-/blob/main/README.md,0,0,FALSE,FALSE,public,2091140,0,105505030,cussans,cussans,group,ohwr/cussans,105419409,https://gitlab.com/groups/ohwr/cussans
68877308,"A project to host all software and hardware developments related to
testing the White Rabbit switch.

",White Rabbit Switch - Testing,wr-switch-testing,ohwr/orsonmmz/wr-switch-testing,2025-04-10T23:30:36.304Z,master,[],[],git@gitlab.com:ohwr/orsonmmz/wr-switch-testing.git,https://gitlab.com/ohwr/orsonmmz/wr-switch-testing.git,https://gitlab.com/ohwr/orsonmmz/wr-switch-testing,https://gitlab.com/ohwr/orsonmmz/wr-switch-testing/-/blob/master/README,0,0,FALSE,FALSE,public,2091140,0,105504910,orsonmmz,orsonmmz,group,ohwr/orsonmmz,105419409,https://gitlab.com/groups/ohwr/orsonmmz
68865714,READ-ONLY PROJECT TO PRESERVE EXISTING REMOTE URLS,amc-carrier-2-sl,amc-carrier-2-sl,ohwr/xtca-projects/amc-carrier-2-sl,2025-04-10T15:36:04.231Z,master,[],[],git@gitlab.com:ohwr/xtca-projects/amc-carrier-2-sl.git,https://gitlab.com/ohwr/xtca-projects/amc-carrier-2-sl.git,https://gitlab.com/ohwr/xtca-projects/amc-carrier-2-sl,,0,0,FALSE,TRUE,public,2091140,,105484882,xtca-projects,xtca-projects,group,ohwr/xtca-projects,105419409,https://gitlab.com/groups/ohwr/xtca-projects
68865703,READ-ONLY PROJECT TO PRESERVE EXISTING REMOTE URLS,amc-cpu-com6,amc-cpu-com6,ohwr/xtca-projects/amc-cpu-com6,2025-04-10T15:35:15.310Z,master,[],[],git@gitlab.com:ohwr/xtca-projects/amc-cpu-com6.git,https://gitlab.com/ohwr/xtca-projects/amc-cpu-com6.git,https://gitlab.com/ohwr/xtca-projects/amc-cpu-com6,,0,0,FALSE,TRUE,public,2091140,,105484882,xtca-projects,xtca-projects,group,ohwr/xtca-projects,105419409,https://gitlab.com/groups/ohwr/xtca-projects
