id,description,name,name_with_namespace,path,path_with_namespace,created_at,default_branch,tag_list,topics,ssh_url_to_repo,http_url_to_repo,web_url,readme_url,forks_count,avatar_url,star_count,last_activity_at,container_registry_image_prefix,marked_for_deletion_at,marked_for_deletion_on,packages_enabled,empty_repo,archived,visibility,resolve_outdated_diff_discussions,repository_object_format,issues_enabled,merge_requests_enabled,wiki_enabled,jobs_enabled,snippets_enabled,container_registry_enabled,service_desk_enabled,can_create_merge_request_in,issues_access_level,repository_access_level,merge_requests_access_level,forking_access_level,wiki_access_level,builds_access_level,snippets_access_level,pages_access_level,analytics_access_level,container_registry_access_level,security_and_compliance_access_level,releases_access_level,environments_access_level,feature_flags_access_level,infrastructure_access_level,monitor_access_level,model_experiments_access_level,model_registry_access_level,emails_disabled,emails_enabled,shared_runners_enabled,lfs_enabled,creator_id,import_status,open_issues_count,description_html,updated_at,ci_config_path,public_jobs,shared_with_groups,only_allow_merge_if_pipeline_succeeds,allow_merge_on_skipped_pipeline,request_access_enabled,only_allow_merge_if_all_discussions_are_resolved,remove_source_branch_after_merge,printing_merge_request_link_enabled,merge_method,merge_request_title_regex,squash_option,enforce_auth_checks_on_uploads,suggestion_commit_message,merge_commit_template,squash_commit_template,issue_branch_template,warn_about_potentially_unwanted_characters,autoclose_referenced_issues,max_artifacts_size,external_authorization_classification_label,requirements_enabled,requirements_access_level,security_and_compliance_enabled,compliance_frameworks,namespace.id,namespace.name,namespace.path,namespace.kind,namespace.full_path,namespace.parent_id,namespace.avatar_url,namespace.web_url,_links.self,_links.issues,_links.merge_requests,_links.repo_branches,_links.labels,_links.events,_links.members,_links.cluster_agents,container_expiration_policy.cadence,container_expiration_policy.enabled,container_expiration_policy.keep_n,container_expiration_policy.older_than,container_expiration_policy.name_regex,container_expiration_policy.name_regex_keep,container_expiration_policy.next_run_at
68830203,READ-ONLY PROJECT TO PRESERVE EXISTING REMOTE URLS,sdb,Open Hardware Repository / misc / sdb,sdb,ohwr/misc/sdb,2025-04-09T16:35:01.471Z,devfede,[],[],git@gitlab.com:ohwr/misc/sdb.git,https://gitlab.com/ohwr/misc/sdb.git,https://gitlab.com/ohwr/misc/sdb,https://gitlab.com/ohwr/misc/sdb/-/blob/devfede/README,0,,0,2025-04-09T16:35:03.041Z,registry.gitlab.com/ohwr/misc/sdb,,,TRUE,FALSE,TRUE,public,FALSE,sha1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,disabled,enabled,disabled,enabled,disabled,disabled,disabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,,"<p data-sourcepos=""1:1-1:50"" dir=""auto"">READ-ONLY PROJECT TO PRESERVE EXISTING REMOTE URLS</p>",2025-04-09T16:35:04.038Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105424190,misc,misc,group,ohwr/misc,105419409,,https://gitlab.com/groups/ohwr/misc,https://gitlab.com/api/v4/projects/68830203,,,https://gitlab.com/api/v4/projects/68830203/repository/branches,https://gitlab.com/api/v4/projects/68830203/labels,https://gitlab.com/api/v4/projects/68830203/events,https://gitlab.com/api/v4/projects/68830203/members,https://gitlab.com/api/v4/projects/68830203/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-10T16:35:01.488Z
68855075,"The CUTE-WR-DP is the enhanced version of CUTE-WR with dual WR ports.  
You can use it as the normal WR node with one SFP port.  
CUTE-WR-DP can work in chain to support cascade topology.  
In future, CUTE-WR-DP could support dualport redundancy function for
high reliable application.  
[More info at the Wiki
page](https://gitlab.com/ohwr/project/cute-wr-dp/-/wikis)

",Compact Universal Timing Endpoint Based on White Rabbit with Dual Ports Cute-WR-DP,Open Hardware Repository / Projects / Compact Universal Timing Endpoint Based on White Rabbit with Dual Ports Cute-WR-DP,cute-wr-dp,ohwr/project/cute-wr-dp,2025-04-10T10:54:09.381Z,master,[],[],git@gitlab.com:ohwr/project/cute-wr-dp.git,https://gitlab.com/ohwr/project/cute-wr-dp.git,https://gitlab.com/ohwr/project/cute-wr-dp,,0,,0,2025-04-23T16:12:09.717Z,registry.gitlab.com/ohwr/project/cute-wr-dp,,,TRUE,FALSE,FALSE,public,FALSE,sha1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,enabled,enabled,enabled,enabled,enabled,disabled,disabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,2,"<p data-sourcepos=""1:1-7:57"" dir=""auto"">The CUTE-WR-DP is the enhanced version of CUTE-WR with dual WR ports. 
You can use it as the normal WR node with one SFP port. 
CUTE-WR-DP can work in chain to support cascade topology. 
In future, CUTE-WR-DP could support dualport redundancy function for
high reliable application. 
<a data-sourcepos=""6:1-7:57"" href=""https://gitlab.com/ohwr/project/cute-wr-dp/-/wikis"">More info at the Wiki
page</a></p>",2025-04-23T16:12:09.739Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105425055,Projects,project,group,ohwr/project,105419409,,https://gitlab.com/groups/ohwr/project,https://gitlab.com/api/v4/projects/68855075,https://gitlab.com/api/v4/projects/68855075/issues,https://gitlab.com/api/v4/projects/68855075/merge_requests,https://gitlab.com/api/v4/projects/68855075/repository/branches,https://gitlab.com/api/v4/projects/68855075/labels,https://gitlab.com/api/v4/projects/68855075/events,https://gitlab.com/api/v4/projects/68855075/members,https://gitlab.com/api/v4/projects/68855075/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-11T10:54:09.398Z
68850537,"The OPT ADC 10k 32b 1cha is a single channel 10kSPS 32 bit ADC card in
the format defined by the CERN TE-EPC group for use with the Function
Generator Controller (FGC 3.2) . It is also known under the name
HPM7177.

",OPT-ADC-10k-32b-1cha HPM7177,Open Hardware Repository / Projects / OPT-ADC-10k-32b-1cha HPM7177,opt-adc-10k-32b-1cha,ohwr/project/opt-adc-10k-32b-1cha,2025-04-10T08:42:04.013Z,master,[],[],git@gitlab.com:ohwr/project/opt-adc-10k-32b-1cha.git,https://gitlab.com/ohwr/project/opt-adc-10k-32b-1cha.git,https://gitlab.com/ohwr/project/opt-adc-10k-32b-1cha,,0,,0,2025-04-12T16:59:03.478Z,registry.gitlab.com/ohwr/project/opt-adc-10k-32b-1cha,,,TRUE,FALSE,FALSE,public,FALSE,sha1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,enabled,enabled,enabled,enabled,enabled,disabled,disabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,0,"<p data-sourcepos=""1:1-4:8"" dir=""auto"">The OPT ADC 10k 32b 1cha is a single channel 10kSPS 32 bit ADC card in
the format defined by the CERN TE-EPC group for use with the Function
Generator Controller (FGC 3.2) . It is also known under the name
HPM7177.</p>",2025-04-12T16:59:03.478Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105425055,Projects,project,group,ohwr/project,105419409,,https://gitlab.com/groups/ohwr/project,https://gitlab.com/api/v4/projects/68850537,https://gitlab.com/api/v4/projects/68850537/issues,https://gitlab.com/api/v4/projects/68850537/merge_requests,https://gitlab.com/api/v4/projects/68850537/repository/branches,https://gitlab.com/api/v4/projects/68850537/labels,https://gitlab.com/api/v4/projects/68850537/events,https://gitlab.com/api/v4/projects/68850537/members,https://gitlab.com/api/v4/projects/68850537/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-11T08:42:04.036Z
68852824,"Software to support the FMC ADC 400k 18b 4cha iso mezzanine, including
Linux device driver, library and test program.

",FMC ADC 400k 18b 4cha iso - Software,Open Hardware Repository / Projects / FMC ADC 400k 18b 4cha iso - Software,fmc-adc-400k18b4cha-iso-sw,ohwr/project/fmc-adc-400k18b4cha-iso-sw,2025-04-10T09:45:03.956Z,master,[],[],git@gitlab.com:ohwr/project/fmc-adc-400k18b4cha-iso-sw.git,https://gitlab.com/ohwr/project/fmc-adc-400k18b4cha-iso-sw.git,https://gitlab.com/ohwr/project/fmc-adc-400k18b4cha-iso-sw,https://gitlab.com/ohwr/project/fmc-adc-400k18b4cha-iso-sw/-/blob/master/README.txt,0,,0,2025-04-12T16:51:47.704Z,registry.gitlab.com/ohwr/project/fmc-adc-400k18b4cha-iso-sw,,,TRUE,FALSE,FALSE,public,FALSE,sha1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,enabled,enabled,enabled,enabled,enabled,disabled,disabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,0,"<p data-sourcepos=""1:1-2:46"" dir=""auto"">Software to support the FMC ADC 400k 18b 4cha iso mezzanine, including
Linux device driver, library and test program.</p>",2025-04-12T16:51:47.704Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105425055,Projects,project,group,ohwr/project,105419409,,https://gitlab.com/groups/ohwr/project,https://gitlab.com/api/v4/projects/68852824,https://gitlab.com/api/v4/projects/68852824/issues,https://gitlab.com/api/v4/projects/68852824/merge_requests,https://gitlab.com/api/v4/projects/68852824/repository/branches,https://gitlab.com/api/v4/projects/68852824/labels,https://gitlab.com/api/v4/projects/68852824/events,https://gitlab.com/api/v4/projects/68852824/members,https://gitlab.com/api/v4/projects/68852824/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-11T09:45:03.979Z
68848438,,FPGA Framework,Open Hardware Repository / Projects / FPGA Framework,fpga-framework,ohwr/project/fpga-framework,2025-04-10T07:46:17.771Z,master,[],[],git@gitlab.com:ohwr/project/fpga-framework.git,https://gitlab.com/ohwr/project/fpga-framework.git,https://gitlab.com/ohwr/project/fpga-framework,,0,,0,2025-04-16T09:28:07.197Z,registry.gitlab.com/ohwr/project/fpga-framework,,,TRUE,FALSE,FALSE,public,FALSE,sha1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,0,,2025-04-16T09:28:07.197Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105425055,Projects,project,group,ohwr/project,105419409,,https://gitlab.com/groups/ohwr/project,https://gitlab.com/api/v4/projects/68848438,https://gitlab.com/api/v4/projects/68848438/issues,https://gitlab.com/api/v4/projects/68848438/merge_requests,https://gitlab.com/api/v4/projects/68848438/repository/branches,https://gitlab.com/api/v4/projects/68848438/labels,https://gitlab.com/api/v4/projects/68848438/events,https://gitlab.com/api/v4/projects/68848438/members,https://gitlab.com/api/v4/projects/68848438/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-11T07:46:17.785Z
68862036,"Linux device driver and associated utilities for PCIe FMC carriers.  
Aka GnuRabbit.

",FMC PCIe Carrier PFC - Software,Open Hardware Repository / Projects / FMC PCIe Carrier PFC - Software,pfc-sw,ohwr/project/pfc-sw,2025-04-10T14:05:05.109Z,master,[],[],git@gitlab.com:ohwr/project/pfc-sw.git,https://gitlab.com/ohwr/project/pfc-sw.git,https://gitlab.com/ohwr/project/pfc-sw,https://gitlab.com/ohwr/project/pfc-sw/-/blob/master/README.md,0,,0,2025-04-12T16:56:48.086Z,registry.gitlab.com/ohwr/project/pfc-sw,,,TRUE,FALSE,FALSE,public,FALSE,sha1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,enabled,enabled,enabled,enabled,enabled,disabled,disabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,1,"<p data-sourcepos=""1:1-2:14"" dir=""auto"">Linux device driver and associated utilities for PCIe FMC carriers. 
Aka GnuRabbit.</p>",2025-04-12T16:56:48.086Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105425055,Projects,project,group,ohwr/project,105419409,,https://gitlab.com/groups/ohwr/project,https://gitlab.com/api/v4/projects/68862036,https://gitlab.com/api/v4/projects/68862036/issues,https://gitlab.com/api/v4/projects/68862036/merge_requests,https://gitlab.com/api/v4/projects/68862036/repository/branches,https://gitlab.com/api/v4/projects/68862036/labels,https://gitlab.com/api/v4/projects/68862036/events,https://gitlab.com/api/v4/projects/68862036/members,https://gitlab.com/api/v4/projects/68862036/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-11T14:05:05.130Z
68852256,"A fine delay generator in FMC LPC format with 1 input and 2 outputs. The
resolution is 1 ns. Optimized for high frequency pulse repetition rates
synchronized to an external clock.  
[More info at the Wiki
page](https://gitlab.com/ohwr/project/fmc-del-1ns-2cha/-/wikis)

",FMC DEL 1ns 2cha,Open Hardware Repository / Projects / FMC DEL 1ns 2cha,fmc-del-1ns-2cha,ohwr/project/fmc-del-1ns-2cha,2025-04-10T09:31:14.542Z,master,[],[],git@gitlab.com:ohwr/project/fmc-del-1ns-2cha.git,https://gitlab.com/ohwr/project/fmc-del-1ns-2cha.git,https://gitlab.com/ohwr/project/fmc-del-1ns-2cha,https://gitlab.com/ohwr/project/fmc-del-1ns-2cha/-/blob/master/README.txt,0,,0,2025-04-24T13:33:27.638Z,registry.gitlab.com/ohwr/project/fmc-del-1ns-2cha,,,TRUE,FALSE,FALSE,public,FALSE,sha1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,enabled,enabled,enabled,enabled,enabled,disabled,disabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,6,"<p data-sourcepos=""1:1-5:63"" dir=""auto"">A fine delay generator in FMC LPC format with 1 input and 2 outputs. The
resolution is 1 ns. Optimized for high frequency pulse repetition rates
synchronized to an external clock. 
<a data-sourcepos=""4:1-5:63"" href=""https://gitlab.com/ohwr/project/fmc-del-1ns-2cha/-/wikis"">More info at the Wiki
page</a></p>",2025-04-24T13:33:27.638Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105425055,Projects,project,group,ohwr/project,105419409,,https://gitlab.com/groups/ohwr/project,https://gitlab.com/api/v4/projects/68852256,https://gitlab.com/api/v4/projects/68852256/issues,https://gitlab.com/api/v4/projects/68852256/merge_requests,https://gitlab.com/api/v4/projects/68852256/repository/branches,https://gitlab.com/api/v4/projects/68852256/labels,https://gitlab.com/api/v4/projects/68852256/events,https://gitlab.com/api/v4/projects/68852256/members,https://gitlab.com/api/v4/projects/68852256/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-11T09:31:14.555Z
68830157,READ-ONLY PROJECT TO PRESERVE EXISTING REMOTE URLS,zio,Open Hardware Repository / misc / zio,zio,ohwr/misc/zio,2025-04-09T16:32:57.345Z,master,[],[],git@gitlab.com:ohwr/misc/zio.git,https://gitlab.com/ohwr/misc/zio.git,https://gitlab.com/ohwr/misc/zio,https://gitlab.com/ohwr/misc/zio/-/blob/master/README,0,,0,2025-04-09T16:33:53.644Z,registry.gitlab.com/ohwr/misc/zio,,,TRUE,FALSE,TRUE,public,FALSE,sha1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,disabled,enabled,disabled,enabled,disabled,disabled,disabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,,"<p data-sourcepos=""1:1-1:50"" dir=""auto"">READ-ONLY PROJECT TO PRESERVE EXISTING REMOTE URLS</p>",2025-04-09T16:35:00.551Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105424190,misc,misc,group,ohwr/misc,105419409,,https://gitlab.com/groups/ohwr/misc,https://gitlab.com/api/v4/projects/68830157,,,https://gitlab.com/api/v4/projects/68830157/repository/branches,https://gitlab.com/api/v4/projects/68830157/labels,https://gitlab.com/api/v4/projects/68830157/events,https://gitlab.com/api/v4/projects/68830157/members,https://gitlab.com/api/v4/projects/68830157/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-10T16:32:57.414Z
68878056,"FPGA Firmware ( ""Gateware"" ) for AIDA-2020 TLU and AIDA mini-TLU

Uses ""IPBus Build"" ( ipbb )

Build instructions at Instructions
[here](https://gitlab.com/ohwr/project/fmc-mtlu-gw/wikis/Building-AIDA-2020-TLU-firmware)

",AIDA-2020 TLU - Gateware,Open Hardware Repository / yiliu / AIDA-2020 TLU - Gateware,fmc-mtlu-gw,ohwr/yiliu/fmc-mtlu-gw,2025-04-11T00:31:21.240Z,master,[],[],git@gitlab.com:ohwr/yiliu/fmc-mtlu-gw.git,https://gitlab.com/ohwr/yiliu/fmc-mtlu-gw.git,https://gitlab.com/ohwr/yiliu/fmc-mtlu-gw,,0,,0,2025-04-23T16:19:10.137Z,registry.gitlab.com/ohwr/yiliu/fmc-mtlu-gw,,,TRUE,FALSE,FALSE,public,FALSE,sha1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,enabled,enabled,enabled,enabled,enabled,disabled,enabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,0,"<p data-sourcepos=""1:1-1:64"" dir=""auto"">FPGA Firmware ( ""Gateware"" ) for AIDA-2020 TLU and AIDA mini-TLU</p>
<p data-sourcepos=""3:1-3:27"" dir=""auto"">Uses ""IPBus Build"" ( ipbb )</p>
<p data-sourcepos=""5:1-6:89"" dir=""auto"">Build instructions at Instructions
<a data-sourcepos=""6:1-6:89"" href=""https://gitlab.com/ohwr/project/fmc-mtlu-gw/wikis/Building-AIDA-2020-TLU-firmware"">here</a></p>",2025-04-23T16:19:10.163Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105506246,yiliu,yiliu,group,ohwr/yiliu,105419409,,https://gitlab.com/groups/ohwr/yiliu,https://gitlab.com/api/v4/projects/68878056,https://gitlab.com/api/v4/projects/68878056/issues,https://gitlab.com/api/v4/projects/68878056/merge_requests,https://gitlab.com/api/v4/projects/68878056/repository/branches,https://gitlab.com/api/v4/projects/68878056/labels,https://gitlab.com/api/v4/projects/68878056/events,https://gitlab.com/api/v4/projects/68878056/members,https://gitlab.com/api/v4/projects/68878056/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-12T00:31:21.257Z
68829248,READ-ONLY PROJECT TO PRESERVE EXISTING REMOTE URLS,fmc-adc-400k18b4cha-iso-sw,Open Hardware Repository / fmc-projects / fmc-adc-400k18b4cha-iso / fmc-adc-400k18b4cha-iso-sw,fmc-adc-400k18b4cha-iso-sw,ohwr/fmc-projects/fmc-adc-400k18b4cha-iso/fmc-adc-400k18b4cha-iso-sw,2025-04-09T16:01:17.014Z,master,[],[],git@gitlab.com:ohwr/fmc-projects/fmc-adc-400k18b4cha-iso/fmc-adc-400k18b4cha-iso-sw.git,https://gitlab.com/ohwr/fmc-projects/fmc-adc-400k18b4cha-iso/fmc-adc-400k18b4cha-iso-sw.git,https://gitlab.com/ohwr/fmc-projects/fmc-adc-400k18b4cha-iso/fmc-adc-400k18b4cha-iso-sw,https://gitlab.com/ohwr/fmc-projects/fmc-adc-400k18b4cha-iso/fmc-adc-400k18b4cha-iso-sw/-/blob/master/README.txt,0,,0,2025-04-09T16:01:18.626Z,registry.gitlab.com/ohwr/fmc-projects/fmc-adc-400k18b4cha-iso/fmc-adc-400k18b4cha-iso-sw,,,TRUE,FALSE,TRUE,public,FALSE,sha1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,disabled,enabled,disabled,enabled,disabled,disabled,disabled,enabled,enabled,enabled,private,enabled,enabled,enabled,enabled,enabled,enabled,enabled,FALSE,TRUE,FALSE,TRUE,2091140,finished,,"<p data-sourcepos=""1:1-1:50"" dir=""auto"">READ-ONLY PROJECT TO PRESERVE EXISTING REMOTE URLS</p>",2025-04-12T18:33:49.404Z,,TRUE,[],FALSE,,FALSE,FALSE,,TRUE,merge,,default_off,TRUE,,,,,TRUE,TRUE,,,FALSE,enabled,FALSE,[],105420324,fmc-adc-400k18b4cha-iso,fmc-adc-400k18b4cha-iso,group,ohwr/fmc-projects/fmc-adc-400k18b4cha-iso,105420234,,https://gitlab.com/groups/ohwr/fmc-projects/fmc-adc-400k18b4cha-iso,https://gitlab.com/api/v4/projects/68829248,,,https://gitlab.com/api/v4/projects/68829248/repository/branches,https://gitlab.com/api/v4/projects/68829248/labels,https://gitlab.com/api/v4/projects/68829248/events,https://gitlab.com/api/v4/projects/68829248/members,https://gitlab.com/api/v4/projects/68829248/cluster_agents,1d,FALSE,10,90d,.*,,2025-04-10T16:01:17.035Z
