"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"HRHMRH83","journalArticle","2017","Jonveaux, Luc","Arduino-Like Development Kit for Single-Element Ultrasound Imaging","Journal of Open Hardware","","2514-1708","10.5334/joh.2","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17826","","2017-03-21","2025-03-19 19:13:36","2025-03-19 19:13:36","2025-03-19 19:13:36","3","","1","1","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/PNN2J4B6/Jonveaux - 2017 - Arduino-Like Development Kit for Single-Element Ultrasound Imaging.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZ579GVC","journalArticle","2018","Wayland, Matthew T.; Landgraf, Matthias","A Cartesian Coordinate Robot for Dispensing Fruit Fly Food","Journal of Open Hardware","","2514-1708","10.5334/joh.9","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17833","","2018-07-31","2025-03-19 19:15:16","2025-03-19 19:15:16","2025-03-19 19:15:16","3","","1","2","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/JHY7ZNRG/Wayland and Landgraf - 2018 - A Cartesian Coordinate Robot for Dispensing Fruit Fly Food.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHIWLCLG","journalArticle","2018","Banović, Luka; Vihar, Boštjan","Development of an Extruder for Open Source 3D Bioprinting","Journal of Open Hardware","","2514-1708","10.5334/joh.6","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17829","","2018-01-30","2025-03-19 19:15:26","2025-03-19 19:15:26","2025-03-19 19:15:26","1","","1","2","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/2BBN6CS6/Banović and Vihar - 2018 - Development of an Extruder for Open Source 3D Bioprinting.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"S8SCZNAC","journalArticle","2018","Delmans, Mihails; Haseloff, Jim","µCube: A Framework for 3D Printable Optomechanics","Journal of Open Hardware","","2514-1708","10.5334/joh.8","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17831","","2018-05-16","2025-03-19 19:15:35","2025-03-19 19:15:35","2025-03-19 19:15:35","2","","1","2","","","µCube","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/EYUG37JY/Delmans and Haseloff - 2018 - µCube A Framework for 3D Printable Optomechanics.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RLAV2GNG","journalArticle","2019","Conley, Kelsey; Foyer, Alex; Hara, Patrick; Janik, Tom; Reichard, Jason; D’Souza, Jon; Tamma, Chandana; Ababei, Cristinel","Vibration Alert Bracelet for Notification of the Visually and Hearing Impaired","Journal of Open Hardware","","2514-1708","10.5334/joh.17","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17838","","2019-10-02","2025-03-19 19:15:49","2025-03-19 19:15:49","2025-03-19 19:15:49","4","","1","3","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/9DIX7VQU/Conley et al. - 2019 - Vibration Alert Bracelet for Notification of the Visually and Hearing Impaired.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4UUXDJBA","journalArticle","2019","Muschard, Bernd; Bonvoisin, Jérémy","CubeFactory2 – an Off-Grid and Circular 3D-Printing Mini-Factory","Journal of Open Hardware","","2514-1708","10.5334/joh.15","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17837","","2019-07-08","2025-03-19 19:15:56","2025-03-19 19:15:56","2025-03-19 19:15:56","3","","1","3","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/ZKABZPT9/Muschard and Bonvoisin - 2019 - CubeFactory2 – an Off-Grid and Circular 3D-Printing Mini-Factory.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"493X3W7Y","journalArticle","2020","Bleichner, Martin G.; Emkes, Reiner","Building an Ear-EEG System by Hacking a Commercial Neck Speaker and a Commercial EEG Amplifier to Record Brain Activity Beyond the Lab","Journal of Open Hardware","","2514-1708","10.5334/joh.25","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17843","","2020-10-16","2025-03-19 19:16:08","2025-03-19 19:16:08","2025-03-19 19:16:08","5","","1","4","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/AAN2SCA4/Bleichner and Emkes - 2020 - Building an Ear-EEG System by Hacking a Commercial Neck Speaker and a Commercial EEG Amplifier to Re.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T969BAAK","journalArticle","2020","Vaughan, Ted J.; Kirrane, Frank; Moerman, Kevin M.; Cahill, Tara; O’Regan, Anthony; O’Keeffe, Derek T.","A Novel Dual Non-Invasive Ventilator Continuous Positive Airway Pressure Non-Aerosolization Circuit for Emergency Use in the COVID-19 Pandemic","Journal of Open Hardware","","2514-1708","10.5334/joh.23","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17841","","2020-09-04","2025-03-19 19:16:18","2025-03-19 19:16:18","2025-03-19 19:16:18","3","","1","4","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/ZTSCLXEK/Vaughan et al. - 2020 - A Novel Dual Non-Invasive Ventilator Continuous Positive Airway Pressure Non-Aerosolization Circuit.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WTJE5W9L","journalArticle","2020","Bowman, Richard W.; Vodenicharski, Boyko; Collins, Joel T.; Stirling, Julian","Flat-Field and Colour Correction for the Raspberry Pi Camera Module","Journal of Open Hardware","","2514-1708","10.5334/joh.20","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17839","","2020-04-13","2025-03-19 19:16:27","2025-03-19 19:16:27","2025-03-19 19:16:27","1","","1","4","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/6AZSU3B8/Bowman et al. - 2020 - Flat-Field and Colour Correction for the Raspberry Pi Camera Module.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M9PVR3TN","journalArticle","2020","Arce, Walker; Stevens, Jeffrey R.","Developing a Computer-Controlled Treat Dispenser for Canine Operant Conditioning","Journal of Open Hardware","","2514-1708","10.5334/joh.27","https://ojs.lib.uwo.ca/index.php/openhardware/article/view/17845","","2020-10-28","2025-03-19 19:16:35","2025-03-19 19:16:35","2025-03-19 19:16:35","6","","1","4","","","","","","","","","","en","http://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/saraht45/Zotero/storage/K47WHBTC/Arce and Stevens - 2020 - Developing a Computer-Controlled Treat Dispenser for Canine Operant Conditioning.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
